Article.ID;geography;response;depth;scope;speed;settlement;actor;adaptation
6205488;Africa;Behavioural/cultural;low;low;uncertain;ambiguous;Individuals or households;Implementing
6205488;Africa;Institutional;low;low;uncertain;ambiguous;Individuals or households;Implementing
6205488;Africa;Ecosystem-based;low;low;uncertain;ambiguous;Individuals or households;Implementing
6205488;Africa;Behavioural/cultural;low;low;uncertain;ambiguous;Government (national);Implementing
6205488;Africa;Behavioural/cultural;low;low;uncertain;ambiguous;Government (national);Financing of measures
6205488;Africa;Institutional;low;low;uncertain;ambiguous;Government (national);Implementing
6205488;Africa;Institutional;low;low;uncertain;ambiguous;Government (national);Financing of measures
6205488;Africa;Ecosystem-based;low;low;uncertain;ambiguous;Government (national);Implementing
6205488;Africa;Ecosystem-based;low;low;uncertain;ambiguous;Government (national);Financing of measures
6205489;Africa;Ecosystem-based;low;medium;uncertain;rural;Individuals or households;Implementing
6205489;Africa;Technological/infrastructural;low;medium;uncertain;rural;Individuals or households;Implementing
6205489;Africa;Behavioural/cultural;low;medium;uncertain;rural;Individuals or households;Implementing
6205490;Africa;Ecosystem-based;low;low;low;rural;Individuals or households;Financing of measures
6205490;Africa;Ecosystem-based;low;low;low;rural;Individuals or households;Implementing
6205490;Africa;Ecosystem-based;low;low;low;rural;Individuals or households;Coordinating interaction
6205490;Africa;Technological/infrastructural;low;low;low;rural;Individuals or households;Financing of measures
6205490;Africa;Technological/infrastructural;low;low;low;rural;Individuals or households;Implementing
6205490;Africa;Technological/infrastructural;low;low;low;rural;Individuals or households;Coordinating interaction
6205490;Africa;Behavioural/cultural;low;low;low;rural;Individuals or households;Financing of measures
6205490;Africa;Behavioural/cultural;low;low;low;rural;Individuals or households;Implementing
6205490;Africa;Behavioural/cultural;low;low;low;rural;Individuals or households;Coordinating interaction
6205490;Africa;Ecosystem-based;low;low;low;rural;Government (national);Financing of measures
6205490;Africa;Technological/infrastructural;low;low;low;rural;Government (national);Financing of measures
6205490;Africa;Behavioural/cultural;low;low;low;rural;Government (national);Financing of measures
6205492;Africa;Technological/infrastructural;low;low;medium;rural;Private sector (SME);Implementing
6205492;Africa;Technological/infrastructural;low;low;medium;rural;Private sector (SME);Financing of measures
6205492;Africa;Ecosystem-based;low;low;medium;rural;Private sector (SME);Implementing
6205492;Africa;Ecosystem-based;low;low;medium;rural;Private sector (SME);Financing of measures
6205492;Africa;Institutional;low;low;medium;rural;Private sector (SME);Implementing
6205492;Africa;Institutional;low;low;medium;rural;Private sector (SME);Financing of measures
6205492;Africa;Behavioural/cultural;low;low;medium;rural;Private sector (SME);Implementing
6205492;Africa;Behavioural/cultural;low;low;medium;rural;Private sector (SME);Financing of measures
6205492;Africa;Technological/infrastructural;low;low;medium;rural;Individuals or households;Implementing
6205492;Africa;Technological/infrastructural;low;low;medium;rural;Individuals or households;Financing of measures
6205492;Africa;Ecosystem-based;low;low;medium;rural;Individuals or households;Implementing
6205492;Africa;Ecosystem-based;low;low;medium;rural;Individuals or households;Financing of measures
6205492;Africa;Institutional;low;low;medium;rural;Individuals or households;Implementing
6205492;Africa;Institutional;low;low;medium;rural;Individuals or households;Financing of measures
6205492;Africa;Behavioural/cultural;low;low;medium;rural;Individuals or households;Implementing
6205492;Africa;Behavioural/cultural;low;low;medium;rural;Individuals or households;Financing of measures
6205495;Africa;Institutional;medium;low;medium;rural;Government (national);Coordinating interaction
6205495;Africa;Institutional;medium;low;medium;rural;Civil society (sub-national or local);Implementing
6205495;Africa;Institutional;medium;low;medium;rural;Civil society (sub-national or local);Monitoring and evaluating
6205495;Africa;Institutional;medium;low;medium;rural;Civil society (sub-national or local);Assessing
6205495;Africa;Institutional;medium;low;medium;rural;Civil society (sub-national or local);Planning
6205495;Africa;Institutional;medium;low;medium;rural;International or multinational governance institutions;Financing of measures
6205497;Africa;Ecosystem-based;low;low;low;rural;Private sector (SME);Awareness raising
6205497;Africa;Ecosystem-based;low;low;low;rural;Private sector (SME);Implementing
6205497;Africa;Ecosystem-based;low;low;low;rural;Private sector (SME);Financing of measures
6205497;Africa;Ecosystem-based;low;low;low;rural;Government (national);Financing of measures
6205497;Africa;Ecosystem-based;low;low;low;rural;Government (national);Implementing
6205501;Africa;Institutional;low;low;medium;rural;Government (national);Planning
6205501;Africa;Behavioural/cultural;low;low;medium;rural;Government (national);Planning
6205501;Africa;Ecosystem-based;low;low;medium;rural;Government (national);Planning
6205501;Africa;Institutional;low;low;medium;rural;Civil society (sub-national or local);Coordinating interaction
6205501;Africa;Institutional;low;low;medium;rural;Civil society (sub-national or local);Implementing
6205501;Africa;Behavioural/cultural;low;low;medium;rural;Civil society (sub-national or local);Coordinating interaction
6205501;Africa;Behavioural/cultural;low;low;medium;rural;Civil society (sub-national or local);Implementing
6205501;Africa;Ecosystem-based;low;low;medium;rural;Civil society (sub-national or local);Coordinating interaction
6205501;Africa;Ecosystem-based;low;low;medium;rural;Civil society (sub-national or local);Implementing
6205501;Africa;Institutional;low;low;medium;rural;International or multinational governance institutions;Financing of measures
6205501;Africa;Behavioural/cultural;low;low;medium;rural;International or multinational governance institutions;Financing of measures
6205501;Africa;Ecosystem-based;low;low;medium;rural;International or multinational governance institutions;Financing of measures
6205502;Africa;Ecosystem-based;low;low;low;rural;Individuals or households;Implementing
6205502;Africa;Technological/infrastructural;low;low;low;rural;Individuals or households;Implementing
6205502;Africa;Ecosystem-based;low;low;low;rural;Government (national);Implementing
6205502;Africa;Ecosystem-based;low;low;low;rural;Government (national);Awareness raising
6205502;Africa;Technological/infrastructural;low;low;low;rural;Government (national);Implementing
6205502;Africa;Technological/infrastructural;low;low;low;rural;Government (national);Awareness raising
6205503;Africa;Ecosystem-based;uncertain;uncertain;uncertain;unclear;Private sector (SME);Implementing
6205503;Africa;Ecosystem-based;uncertain;uncertain;uncertain;unclear;Private sector (SME);Financing of measures
6205503;Africa;Behavioural/cultural;uncertain;uncertain;uncertain;unclear;Private sector (SME);Implementing
6205503;Africa;Behavioural/cultural;uncertain;uncertain;uncertain;unclear;Private sector (SME);Financing of measures
6205503;Africa;Ecosystem-based;uncertain;uncertain;uncertain;unclear;Civil society (international/multinational/national);Implementing
6205503;Africa;Behavioural/cultural;uncertain;uncertain;uncertain;unclear;Civil society (international/multinational/national);Implementing
6205503;Africa;Ecosystem-based;uncertain;uncertain;uncertain;unclear;Government (national);Implementing
6205503;Africa;Ecosystem-based;uncertain;uncertain;uncertain;unclear;Government (national);Assessing
6205503;Africa;Ecosystem-based;uncertain;uncertain;uncertain;unclear;Government (national);Planning
6205503;Africa;Behavioural/cultural;uncertain;uncertain;uncertain;unclear;Government (national);Implementing
6205503;Africa;Behavioural/cultural;uncertain;uncertain;uncertain;unclear;Government (national);Assessing
6205503;Africa;Behavioural/cultural;uncertain;uncertain;uncertain;unclear;Government (national);Planning
6205503;Africa;Ecosystem-based;uncertain;uncertain;uncertain;unclear;Government (local);Planning
6205503;Africa;Behavioural/cultural;uncertain;uncertain;uncertain;unclear;Government (local);Planning
6205506;Africa;Ecosystem-based;low;low;uncertain;rural;Private sector (SME);Implementing
6205506;Africa;Technological/infrastructural;low;low;uncertain;rural;Private sector (SME);Implementing
6205507;Africa;Ecosystem-based;low;medium;low;rural;Private sector (SME);Financing of measures
6205507;Africa;Ecosystem-based;low;medium;low;rural;Private sector (SME);Implementing
6205507;Africa;Technological/infrastructural;low;medium;low;rural;Private sector (SME);Financing of measures
6205507;Africa;Technological/infrastructural;low;medium;low;rural;Private sector (SME);Implementing
6205507;Africa;Ecosystem-based;low;medium;low;rural;Individuals or households;Implementing
6205507;Africa;Technological/infrastructural;low;medium;low;rural;Individuals or households;Implementing
6205508;Asia;Institutional;medium;low;low;urban;International or multinational governance institutions;Financing of measures
6205508;Asia;Institutional;medium;low;low;urban;International or multinational governance institutions;Implementing
6205508;Asia;Technological/infrastructural;medium;low;low;urban;International or multinational governance institutions;Financing of measures
6205508;Asia;Technological/infrastructural;medium;low;low;urban;International or multinational governance institutions;Implementing
6205508;Asia;Institutional;medium;low;low;urban;Government (local);Financing of measures
6205508;Asia;Institutional;medium;low;low;urban;Government (local);Implementing
6205508;Asia;Technological/infrastructural;medium;low;low;urban;Government (local);Financing of measures
6205508;Asia;Technological/infrastructural;medium;low;low;urban;Government (local);Implementing
6205509;Asia;Ecosystem-based;low;medium;uncertain;unclear;Government (sub-national);Implementing
6205509;Asia;Institutional;low;medium;uncertain;unclear;Government (sub-national);Implementing
6205509;Asia;Behavioural/cultural;low;medium;uncertain;unclear;Government (sub-national);Implementing
6205509;Asia;Ecosystem-based;low;medium;uncertain;unclear;Government (local);Financing of measures
6205509;Asia;Ecosystem-based;low;medium;uncertain;unclear;Government (local);Implementing
6205509;Asia;Ecosystem-based;low;medium;uncertain;unclear;Government (local);Awareness raising
6205509;Asia;Institutional;low;medium;uncertain;unclear;Government (local);Financing of measures
6205509;Asia;Institutional;low;medium;uncertain;unclear;Government (local);Implementing
6205509;Asia;Institutional;low;medium;uncertain;unclear;Government (local);Awareness raising
6205509;Asia;Behavioural/cultural;low;medium;uncertain;unclear;Government (local);Financing of measures
6205509;Asia;Behavioural/cultural;low;medium;uncertain;unclear;Government (local);Implementing
6205509;Asia;Behavioural/cultural;low;medium;uncertain;unclear;Government (local);Awareness raising
6205510;Asia;Institutional;low;low;low;rural;Individuals or households;Financing of measures
6205510;Asia;Institutional;low;low;low;rural;Individuals or households;Implementing
6205510;Asia;Behavioural/cultural;low;low;low;rural;Individuals or households;Financing of measures
6205510;Asia;Behavioural/cultural;low;low;low;rural;Individuals or households;Implementing
6205510;Asia;Institutional;low;low;low;rural;Government (national);Implementing
6205510;Asia;Behavioural/cultural;low;low;low;rural;Government (national);Implementing
6205510;Asia;Institutional;low;low;low;rural;Civil society (sub-national or local);Coordinating interaction
6205510;Asia;Behavioural/cultural;low;low;low;rural;Civil society (sub-national or local);Coordinating interaction
6205514;Europe;Institutional;low;low;uncertain;urban;Government (local);Monitoring and evaluating
6205514;Europe;Institutional;low;low;uncertain;urban;Government (local);Financing of measures
6205514;Europe;Institutional;low;low;uncertain;urban;Government (local);Planning
6205514;Europe;Institutional;low;low;uncertain;urban;Government (local);Implementing
6205514;Europe;Institutional;low;low;uncertain;urban;Government (local);Coordinating interaction
6205514;Europe;Ecosystem-based;low;low;uncertain;urban;Government (local);Monitoring and evaluating
6205514;Europe;Ecosystem-based;low;low;uncertain;urban;Government (local);Financing of measures
6205514;Europe;Ecosystem-based;low;low;uncertain;urban;Government (local);Planning
6205514;Europe;Ecosystem-based;low;low;uncertain;urban;Government (local);Implementing
6205514;Europe;Ecosystem-based;low;low;uncertain;urban;Government (local);Coordinating interaction
6205514;Europe;Technological/infrastructural;low;low;uncertain;urban;Government (local);Monitoring and evaluating
6205514;Europe;Technological/infrastructural;low;low;uncertain;urban;Government (local);Financing of measures
6205514;Europe;Technological/infrastructural;low;low;uncertain;urban;Government (local);Planning
6205514;Europe;Technological/infrastructural;low;low;uncertain;urban;Government (local);Implementing
6205514;Europe;Technological/infrastructural;low;low;uncertain;urban;Government (local);Coordinating interaction
6205514;Europe;Institutional;low;low;uncertain;urban;Private sector (corporations);Implementing
6205514;Europe;Ecosystem-based;low;low;uncertain;urban;Private sector (corporations);Implementing
6205514;Europe;Technological/infrastructural;low;low;uncertain;urban;Private sector (corporations);Implementing
6205515;Europe;Institutional;low;medium;high;urban;Academia;Awareness raising
6205515;Europe;Institutional;low;medium;high;urban;Academia;Assessing
6205517;Europe;Technological/infrastructural;low;low;low;urban;Government (national);Financing of measures
6205517;Europe;Technological/infrastructural;low;low;low;urban;Government (national);Implementing
6205517;Europe;Technological/infrastructural;low;low;low;urban;Academia;Assessing
6205518;North America;Ecosystem-based;low;low;low;rural;Individuals or households;Implementing
6205518;North America;Behavioural/cultural;low;low;low;rural;Individuals or households;Implementing
6205518;North America;Institutional;low;low;low;rural;Individuals or households;Implementing
6205518;North America;Ecosystem-based;low;low;low;rural;International or multinational governance institutions;Financing of measures
6205518;North America;Behavioural/cultural;low;low;low;rural;International or multinational governance institutions;Financing of measures
6205518;North America;Institutional;low;low;low;rural;International or multinational governance institutions;Financing of measures
6205518;North America;Ecosystem-based;low;low;low;rural;Government (national);Planning
6205518;North America;Behavioural/cultural;low;low;low;rural;Government (national);Planning
6205518;North America;Institutional;low;low;low;rural;Government (national);Planning
6205519;North America;Ecosystem-based;medium;low;low;unclear;Academia;Assessing
6205519;North America;Behavioural/cultural;medium;low;low;unclear;Academia;Assessing
6205519;North America;Ecosystem-based;medium;low;low;unclear;Government (sub-national);Implementing
6205519;North America;Behavioural/cultural;medium;low;low;unclear;Government (sub-national);Implementing
6205519;North America;Ecosystem-based;medium;low;low;unclear;Individuals or households;Implementing
6205519;North America;Behavioural/cultural;medium;low;low;unclear;Individuals or households;Implementing
6205524;Africa;Ecosystem-based;low;low;low;rural;Academia;Assessing
6205524;Africa;Ecosystem-based;low;low;low;rural;Academia;Implementing
6205524;Africa;Technological/infrastructural;low;low;low;rural;Academia;Assessing
6205524;Africa;Technological/infrastructural;low;low;low;rural;Academia;Implementing
6205525;Africa;Behavioural/cultural;low;medium;medium;rural;Individuals or households;Implementing
6205525;Africa;Ecosystem-based;low;medium;medium;rural;Individuals or households;Implementing
6205525;Africa;Technological/infrastructural;low;medium;medium;rural;Individuals or households;Implementing
6205526;Africa;Ecosystem-based;low;medium;low;rural;Academia;Assessing
6205526;Africa;Behavioural/cultural;low;medium;low;rural;Academia;Assessing
6205526;Africa;Ecosystem-based;low;medium;low;rural;International or multinational governance institutions;Implementing
6205526;Africa;Ecosystem-based;low;medium;low;rural;International or multinational governance institutions;Monitoring and evaluating
6205526;Africa;Ecosystem-based;low;medium;low;rural;International or multinational governance institutions;Coordinating interaction
6205526;Africa;Behavioural/cultural;low;medium;low;rural;International or multinational governance institutions;Implementing
6205526;Africa;Behavioural/cultural;low;medium;low;rural;International or multinational governance institutions;Monitoring and evaluating
6205526;Africa;Behavioural/cultural;low;medium;low;rural;International or multinational governance institutions;Coordinating interaction
6205526;Africa;Ecosystem-based;low;medium;low;rural;Government (local);Implementing
6205526;Africa;Ecosystem-based;low;medium;low;rural;Government (local);Monitoring and evaluating
6205526;Africa;Ecosystem-based;low;medium;low;rural;Government (local);Coordinating interaction
6205526;Africa;Behavioural/cultural;low;medium;low;rural;Government (local);Implementing
6205526;Africa;Behavioural/cultural;low;medium;low;rural;Government (local);Monitoring and evaluating
6205526;Africa;Behavioural/cultural;low;medium;low;rural;Government (local);Coordinating interaction
6205528;Africa;Ecosystem-based;uncertain;medium;medium;rural;Individuals or households;Planning
6205528;Africa;Ecosystem-based;uncertain;medium;medium;rural;Individuals or households;Implementing
6205528;Africa;Behavioural/cultural;uncertain;medium;medium;rural;Individuals or households;Planning
6205528;Africa;Behavioural/cultural;uncertain;medium;medium;rural;Individuals or households;Implementing
6205528;Africa;Institutional;uncertain;medium;medium;rural;Individuals or households;Planning
6205528;Africa;Institutional;uncertain;medium;medium;rural;Individuals or households;Implementing
6205528;Africa;Ecosystem-based;uncertain;medium;medium;rural;Government (national);Financing of measures
6205528;Africa;Behavioural/cultural;uncertain;medium;medium;rural;Government (national);Financing of measures
6205528;Africa;Institutional;uncertain;medium;medium;rural;Government (national);Financing of measures
6205529;Africa;Behavioural/cultural;medium;low;low;rural;Individuals or households;Implementing
6205529;Africa;Behavioural/cultural;medium;low;low;rural;Individuals or households;Planning
6205529;Africa;Technological/infrastructural;medium;low;low;rural;Individuals or households;Implementing
6205529;Africa;Technological/infrastructural;medium;low;low;rural;Individuals or households;Planning
6205530;Africa;Technological/infrastructural;medium;medium;low;rural;Individuals or households;Implementing
6205530;Africa;Technological/infrastructural;medium;medium;low;rural;Individuals or households;Financing of measures
6205530;Africa;Technological/infrastructural;medium;medium;low;rural;Academia;Implementing
6205530;Africa;Technological/infrastructural;medium;medium;low;rural;Academia;Assessing
6205530;Africa;Technological/infrastructural;medium;medium;low;rural;Private sector (SME);Implementing
6205530;Africa;Technological/infrastructural;medium;medium;low;rural;Private sector (SME);Financing of measures
6205532;Africa;Technological/infrastructural;medium;low;uncertain;rural;Civil society (sub-national or local);Coordinating interaction
6205532;Africa;Technological/infrastructural;medium;low;uncertain;rural;Civil society (sub-national or local);Awareness raising
6205532;Africa;Ecosystem-based;medium;low;uncertain;rural;Civil society (sub-national or local);Coordinating interaction
6205532;Africa;Ecosystem-based;medium;low;uncertain;rural;Civil society (sub-national or local);Awareness raising
6205532;Africa;Technological/infrastructural;medium;low;uncertain;rural;Government (national);Implementing
6205532;Africa;Ecosystem-based;medium;low;uncertain;rural;Government (national);Implementing
6205532;Africa;Technological/infrastructural;medium;low;uncertain;rural;Individuals or households;Implementing
6205532;Africa;Ecosystem-based;medium;low;uncertain;rural;Individuals or households;Implementing
6205532;Africa;Technological/infrastructural;medium;low;uncertain;rural;Government (local);Awareness raising
6205532;Africa;Ecosystem-based;medium;low;uncertain;rural;Government (local);Awareness raising
6205532;Africa;Technological/infrastructural;medium;low;uncertain;rural;Private sector (corporations);Implementing
6205532;Africa;Ecosystem-based;medium;low;uncertain;rural;Private sector (corporations);Implementing
6205533;Africa;Ecosystem-based;low;low;uncertain;rural;Civil society (sub-national or local);Awareness raising
6205533;Africa;Ecosystem-based;low;low;uncertain;rural;Civil society (sub-national or local);Implementing
6205533;Africa;Behavioural/cultural;low;low;uncertain;rural;Civil society (sub-national or local);Awareness raising
6205533;Africa;Behavioural/cultural;low;low;uncertain;rural;Civil society (sub-national or local);Implementing
6205533;Africa;Ecosystem-based;low;low;uncertain;rural;Government (sub-national);Awareness raising
6205533;Africa;Behavioural/cultural;low;low;uncertain;rural;Government (sub-national);Awareness raising
6205533;Africa;Ecosystem-based;low;low;uncertain;rural;Individuals or households;Implementing
6205533;Africa;Behavioural/cultural;low;low;uncertain;rural;Individuals or households;Implementing
6205533;Africa;Ecosystem-based;low;low;uncertain;rural;Government (national);Financing of measures
6205533;Africa;Ecosystem-based;low;low;uncertain;rural;Government (national);Implementing
6205533;Africa;Behavioural/cultural;low;low;uncertain;rural;Government (national);Financing of measures
6205533;Africa;Behavioural/cultural;low;low;uncertain;rural;Government (national);Implementing
6205536;Africa;Behavioural/cultural;low;low;low;rural;Individuals or households;Implementing
6205536;Africa;Technological/infrastructural;low;low;low;rural;Individuals or households;Implementing
6205539;Asia;Technological/infrastructural;low;low;low;rural;Individuals or households;Implementing
6205539;Asia;Technological/infrastructural;low;low;low;rural;Individuals or households;Planning
6205539;Asia;Behavioural/cultural;low;low;low;rural;Individuals or households;Implementing
6205539;Asia;Behavioural/cultural;low;low;low;rural;Individuals or households;Planning
6205540;Central and South America;Ecosystem-based;low;low;low;rural;Individuals or households;Implementing
6205540;Central and South America;Ecosystem-based;low;low;low;rural;Individuals or households;Planning
6205540;Central and South America;Technological/infrastructural;low;low;low;rural;Individuals or households;Implementing
6205540;Central and South America;Technological/infrastructural;low;low;low;rural;Individuals or households;Planning
6205541;Europe;Ecosystem-based;low;medium;medium;ambiguous;International or multinational governance institutions;Monitoring and evaluating
6205541;Asia;Ecosystem-based;low;medium;medium;ambiguous;International or multinational governance institutions;Monitoring and evaluating
6205541;Africa;Ecosystem-based;low;medium;medium;ambiguous;International or multinational governance institutions;Monitoring and evaluating
6205541;Europe;Ecosystem-based;low;medium;medium;ambiguous;International or multinational governance institutions;Planning
6205541;Asia;Ecosystem-based;low;medium;medium;ambiguous;International or multinational governance institutions;Planning
6205541;Africa;Ecosystem-based;low;medium;medium;ambiguous;International or multinational governance institutions;Planning
6205541;Europe;Ecosystem-based;low;medium;medium;ambiguous;Government (national);Planning
6205541;Asia;Ecosystem-based;low;medium;medium;ambiguous;Government (national);Planning
6205541;Africa;Ecosystem-based;low;medium;medium;ambiguous;Government (national);Planning
6205542;Africa;Institutional;medium;medium;uncertain;urban;Government (national);Planning
6205542;Africa;Institutional;medium;medium;uncertain;urban;Government (national);Financing of measures
6205542;Africa;Institutional;medium;medium;uncertain;urban;Government (national);Implementing
6205542;Africa;Institutional;medium;medium;uncertain;urban;Government (national);Assessing
6205542;Africa;Technological/infrastructural;medium;medium;uncertain;urban;Government (national);Planning
6205542;Africa;Technological/infrastructural;medium;medium;uncertain;urban;Government (national);Financing of measures
6205542;Africa;Technological/infrastructural;medium;medium;uncertain;urban;Government (national);Implementing
6205542;Africa;Technological/infrastructural;medium;medium;uncertain;urban;Government (national);Assessing
6205542;Africa;Behavioural/cultural;medium;medium;uncertain;urban;Government (national);Planning
6205542;Africa;Behavioural/cultural;medium;medium;uncertain;urban;Government (national);Financing of measures
6205542;Africa;Behavioural/cultural;medium;medium;uncertain;urban;Government (national);Implementing
6205542;Africa;Behavioural/cultural;medium;medium;uncertain;urban;Government (national);Assessing
6205542;Africa;Institutional;medium;medium;uncertain;urban;Individuals or households;Implementing
6205542;Africa;Technological/infrastructural;medium;medium;uncertain;urban;Individuals or households;Implementing
6205542;Africa;Behavioural/cultural;medium;medium;uncertain;urban;Individuals or households;Implementing
6205544;Africa;Ecosystem-based;low;low;medium;urban;Private sector (SME);Planning
6205544;Africa;Ecosystem-based;low;low;medium;urban;Private sector (SME);Implementing
6205544;Africa;Technological/infrastructural;low;low;medium;urban;Private sector (SME);Planning
6205544;Africa;Technological/infrastructural;low;low;medium;urban;Private sector (SME);Implementing
6205544;Africa;Behavioural/cultural;low;low;medium;urban;Private sector (SME);Planning
6205544;Africa;Behavioural/cultural;low;low;medium;urban;Private sector (SME);Implementing
6205544;Africa;Ecosystem-based;low;low;medium;urban;International or multinational governance institutions;Financing of measures
6205544;Africa;Ecosystem-based;low;low;medium;urban;International or multinational governance institutions;Implementing
6205544;Africa;Technological/infrastructural;low;low;medium;urban;International or multinational governance institutions;Financing of measures
6205544;Africa;Technological/infrastructural;low;low;medium;urban;International or multinational governance institutions;Implementing
6205544;Africa;Behavioural/cultural;low;low;medium;urban;International or multinational governance institutions;Financing of measures
6205544;Africa;Behavioural/cultural;low;low;medium;urban;International or multinational governance institutions;Implementing
6205544;Africa;Ecosystem-based;low;low;medium;urban;Civil society (sub-national or local);Implementing
6205544;Africa;Technological/infrastructural;low;low;medium;urban;Civil society (sub-national or local);Implementing
6205544;Africa;Behavioural/cultural;low;low;medium;urban;Civil society (sub-national or local);Implementing
6205545;Central and South America;Behavioural/cultural;low;low;low;rural;Individuals or households;Planning
6205545;Africa;Behavioural/cultural;low;low;low;rural;Individuals or households;Planning
6205545;Asia;Behavioural/cultural;low;low;low;rural;Individuals or households;Planning
6205545;Central and South America;Behavioural/cultural;low;low;low;rural;Individuals or households;Implementing
6205545;Africa;Behavioural/cultural;low;low;low;rural;Individuals or households;Implementing
6205545;Asia;Behavioural/cultural;low;low;low;rural;Individuals or households;Implementing
6205547;North America;Technological/infrastructural;low;medium;medium;rural;Government (national);Financing of measures
6205547;North America;Technological/infrastructural;low;medium;medium;rural;Government (national);Implementing
6205547;North America;Technological/infrastructural;low;medium;medium;rural;Government (national);Coordinating interaction
6205547;North America;Institutional;low;medium;medium;rural;Government (national);Financing of measures
6205547;North America;Institutional;low;medium;medium;rural;Government (national);Implementing
6205547;North America;Institutional;low;medium;medium;rural;Government (national);Coordinating interaction
6205547;North America;Technological/infrastructural;low;medium;medium;rural;Civil society (sub-national or local);Financing of measures
6205547;North America;Technological/infrastructural;low;medium;medium;rural;Civil society (sub-national or local);Implementing
6205547;North America;Technological/infrastructural;low;medium;medium;rural;Civil society (sub-national or local);Coordinating interaction
6205547;North America;Institutional;low;medium;medium;rural;Civil society (sub-national or local);Financing of measures
6205547;North America;Institutional;low;medium;medium;rural;Civil society (sub-national or local);Implementing
6205547;North America;Institutional;low;medium;medium;rural;Civil society (sub-national or local);Coordinating interaction
6205548;Africa;Technological/infrastructural;low;medium;low;rural;Individuals or households;Implementing
6205548;Africa;Technological/infrastructural;low;medium;low;rural;Government (national);Financing of measures
6214200;Africa;Behavioural/cultural;low;low;uncertain;rural;Individuals or households;Implementing
6214200;Africa;Behavioural/cultural;low;low;uncertain;rural;Government (national);Implementing
6214200;Africa;Behavioural/cultural;low;low;uncertain;rural;Government (national);Financing of measures
6214201;Africa;Behavioural/cultural;uncertain;low;uncertain;rural;Individuals or households;Implementing
6214201;Africa;Institutional;uncertain;low;uncertain;rural;Individuals or households;Implementing
6214201;Africa;Technological/infrastructural;uncertain;low;uncertain;rural;Individuals or households;Implementing
6214201;Africa;Behavioural/cultural;uncertain;low;uncertain;rural;Academia;Assessing
6214201;Africa;Institutional;uncertain;low;uncertain;rural;Academia;Assessing
